"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.355210458E0,1.957756559E0,-2.437615035E-1,2.024224198E0
3.365189458E0,2.037138943E0,-1.907392444E-1,1.676273351E0
3.375167458E0,1.989690542E0,1.881502435E-2,1.790304582E0
3.385146458E0,2.284806533E0,7.966129661E-2,1.358038055E0
3.395124458E0,2.333476417E0,1.018967959E-1,9.067604756E-1
3.405102458E0,2.085188438E0,5.554533273E-2,1.223398898E0
3.415081458E0,2.226640186E0,-1.989623299E-1,2.017486451E0
3.425059458E0,2.058139803E0,-1.141691514E-1,2.398895066E0
3.435038458E0,1.762706308E0,2.123122542E-1,2.242607762E0
3.445016458E0,1.968328325E0,2.438286003E-1,1.882187728E0
3.454995458E0,2.017203446E0,2.496419021E-1,1.565979661E0
3.464973458E0,1.878343184E0,-7.352654412E-3,1.683530331E0
3.474951458E0,1.883567671E0,-2.648861781E-1,2.018067665E0
3.484930458E0,2.031784063E0,-1.105834341E0,2.087389330E0
3.494908458E0,1.749153047E0,-7.868845148E-1,1.498277090E0
3.504887458E0,1.843362801E0,4.543652013E-3,1.065392513E0
3.514865458E0,1.532646439E0,5.095480067E-1,1.130296022E0
3.524844458E0,1.292042286E0,6.872134615E-1,1.172448015E0
3.534822458E0,1.146529062E0,4.989000808E-1,1.180917122E0
3.544800458E0,1.002230304E0,-1.994660676E-1,7.931771421E-1
3.554779458E0,8.604745013E-1,-1.743687216E-1,6.914063537E-1
3.564757458E0,9.966432899E-1,1.337208518E-1,7.807178950E-1
3.574736458E0,9.408713776E-1,2.230206987E-1,6.393380678E-1
3.584714458E0,6.868478644E-1,1.148628505E-1,-1.706001180E-1
3.594693458E0,1.026216753E0,-2.790019414E-1,1.139577307E0
3.604671458E0,6.984206736E-1,2.030849824E-1,6.032028598E-1
3.614649458E0,3.480695450E-1,3.022979794E-1,-1.857537621E-1
3.624628458E0,5.862014955E-1,3.195086740E-2,2.758657873E-2
3.634606458E0,5.256793052E-1,6.929104038E-2,2.069306231E-1
3.644585458E0,3.111660129E-1,8.837744862E-2,1.632086527E-1
3.654563458E0,3.367832494E-1,-4.670331940E-2,-2.260013169E-1
3.664542458E0,4.649466151E-1,-9.204248339E-4,-1.994017482E-1
3.674520458E0,3.468159020E-1,5.475332737E-3,-1.752159101E-1
3.684499458E0,4.845839041E-1,1.354989901E-2,-2.234490073E-1
3.694477458E0,6.554015386E-1,5.646553829E-2,-1.285814416E-1
3.704456458E0,6.311168826E-1,-2.223272189E-2,-3.767010212E-2
3.714434458E0,5.246806008E-1,-1.820595644E-1,-2.410514653E-2
3.724412458E0,4.004348695E-1,-1.842548284E-1,-5.537897944E-3
3.734391458E0,2.994087240E-1,-8.964731768E-2,6.270086288E-2
3.744369458E0,4.660818520E-1,-1.009432612E-1,2.659132415E-1
3.754348458E0,8.536505082E-1,-3.171744655E-1,3.714706868E-1
3.764326458E0,9.979904884E-1,-5.135607315E-1,3.964254338E-1
3.774305458E0,7.996760300E-1,-4.348391555E-1,3.951799768E-1
3.784283458E0,8.145335126E-1,-2.142215163E-1,5.180516124E-1
3.794262458E0,9.210762137E-1,-1.553385197E-1,6.898223430E-1
3.804240458E0,8.713722494E-1,-2.331357240E-1,8.973528904E-1
3.814218458E0,1.012875453E0,-3.387850437E-1,8.187014079E-1
3.824197458E0,1.236845155E0,-3.988135828E-1,6.932833099E-1
3.834175458E0,1.215432943E0,-6.750619972E-1,9.407064861E-1
3.844154458E0,1.294869999E0,-1.999287285E0,1.222209574E0
3.854132458E0,1.154181898E0,-1.517431107E0,9.437908924E-1
3.864111458E0,8.401127422E-1,-3.645743345E-1,8.000967371E-1
3.874089458E0,5.393433711E-1,5.640025413E-1,7.790181094E-1
3.884068458E0,5.254389846E-1,9.898909984E-1,6.223846507E-1
3.894046458E0,2.512384844E-1,1.154012621E0,7.775329167E-1
