"Time (ms)","Recording (a.u.)"
1.272964885E1,-1.806673594E-3
1.275048297E1,-2.485373290E-3
1.277131710E1,-3.049938940E-3
1.279215122E1,-5.113025662E-3
1.281298534E1,-7.612480782E-3
1.283381946E1,-1.432860643E-2
1.285465359E1,-2.462905273E-2
1.287548771E1,-3.221087158E-2
1.289632183E1,-3.771183267E-2
1.291715595E1,-4.072846472E-2
1.293799008E1,-4.088408500E-2
1.295882420E1,-4.236172885E-2
1.297965832E1,-4.620670900E-2
1.300049244E1,-5.162498355E-2
1.302132657E1,-5.614597350E-2
1.304216069E1,-5.974460766E-2
1.306299481E1,-6.427424401E-2
1.308382893E1,-6.403605640E-2
1.310466306E1,-5.770275742E-2
1.312549718E1,-5.275134370E-2
1.314633130E1,-5.466671661E-2
1.316716542E1,-6.353861839E-2
1.318799955E1,-7.217985392E-2
1.320883367E1,-7.756251097E-2
1.322966779E1,-8.505214006E-2
1.325050191E1,-9.517622739E-2
1.327133604E1,-1.007201523E-1
1.329217016E1,-9.789355099E-2
1.331300428E1,-9.291180968E-2
1.333383840E1,-8.793669194E-2
1.335467253E1,-8.148744702E-2
1.337550665E1,-7.864399254E-2
1.339634077E1,-8.271402121E-2
1.341717489E1,-8.828124404E-2
1.343800902E1,-8.640084416E-2
1.345884314E1,-8.044011891E-2
1.347967726E1,-8.120640367E-2
1.350051138E1,-8.650410920E-2
1.352134551E1,-8.623581380E-2
1.354217963E1,-7.700103521E-2
1.356301375E1,-6.588878483E-2
1.358384787E1,-6.103256345E-2
1.360468200E1,-6.035572290E-2
1.362551612E1,-6.128501147E-2
1.364635024E1,-6.572624296E-2
1.366718436E1,-7.246144861E-2
1.368801849E1,-7.764951885E-2
1.370885261E1,-7.742127776E-2
1.372968673E1,-7.412236929E-2
1.375052085E1,-7.387799770E-2
1.377135498E1,-7.508433610E-2
1.379218910E1,-7.041768730E-2
1.381302322E1,-5.930715799E-2
1.383385734E1,-5.229970440E-2
1.385469147E1,-5.645639822E-2
1.387552559E1,-6.453891098E-2
1.389635971E1,-6.446547061E-2
1.391719383E1,-5.748162419E-2
1.393802796E1,-5.358858407E-2
1.395886208E1,-5.265345424E-2
1.397969620E1,-4.818833992E-2
1.400053032E1,-3.794280440E-2
1.402136445E1,-2.829994075E-2
1.404219857E1,-2.625059523E-2
1.406303269E1,-3.106978163E-2
1.408386681E1,-3.722258657E-2
1.410470094E1,-4.067121819E-2
1.412553506E1,-4.268831387E-2
1.414636918E1,-4.274806008E-2
1.416720330E1,-3.773073107E-2
1.418803743E1,-2.706393972E-2
1.420887155E1,-1.357469335E-2
1.422970567E1,-1.467339811E-3
1.425053979E1,7.114861161E-3
1.427137392E1,1.139771566E-2
1.429220804E1,1.165413298E-2
1.431304216E1,1.133026835E-2
1.433387628E1,1.483191364E-2
1.435471041E1,2.329930291E-2
1.437554453E1,3.237077594E-2
1.439637865E1,3.532500565E-2
1.441721277E1,3.083078563E-2
1.443804690E1,2.332060598E-2
1.445888102E1,1.930100843E-2
1.447971514E1,2.282641083E-2
1.450054926E1,3.095037118E-2
1.452138339E1,3.737536818E-2
1.454221751E1,3.879817575E-2
1.456305163E1,3.655920923E-2
1.458388575E1,3.430547193E-2
1.460471988E1,3.443689272E-2
1.462555400E1,3.501856327E-2
1.464638812E1,3.223478794E-2
1.466722224E1,2.824193612E-2
1.468805637E1,2.794301882E-2
1.470889049E1,3.265540674E-2
1.472972461E1,4.066788778E-2
1.475055873E1,5.116014183E-2
1.477139286E1,6.311489642E-2
1.479222698E1,7.133955508E-2
1.481306110E1,7.321591675E-2
1.483389522E1,7.318722457E-2
1.485472935E1,7.681754231E-2
1.487556347E1,8.393312246E-2
1.489639759E1,9.362223744E-2
1.491723171E1,1.048555672E-1
1.493806584E1,1.112788767E-1
1.495889996E1,1.116739959E-1
1.497973408E1,1.096271053E-1
1.500056820E1,1.061078608E-1
1.502140233E1,1.027505249E-1
1.504223645E1,1.005574465E-1
1.506307057E1,9.872484207E-2
1.508390469E1,9.515632689E-2
1.510473882E1,8.648300916E-2
1.512557294E1,7.453694940E-2
1.514640706E1,6.533610821E-2
1.516724118E1,6.365948915E-2
1.518807531E1,6.760522723E-2
1.520890943E1,6.828983128E-2
1.522974355E1,6.654250622E-2
1.525057767E1,7.034450024E-2
1.527141180E1,7.910202444E-2
1.529224592E1,8.581168950E-2
1.531308004E1,8.613571525E-2
1.533391416E1,8.371791244E-2
1.535474829E1,8.139601350E-2
1.537558241E1,7.508397102E-2
1.539641653E1,6.591626257E-2
1.541725065E1,6.042323261E-2
1.543808478E1,6.031829864E-2
1.545891890E1,6.453958154E-2
1.547975302E1,6.915719062E-2
1.550058714E1,7.003281265E-2
1.552142127E1,6.582044065E-2
1.554225539E1,5.694986135E-2
1.556308951E1,4.944708198E-2
1.558392363E1,4.663659632E-2
1.560475776E1,4.623266682E-2
1.562559188E1,4.628171772E-2
1.564642600E1,4.562555254E-2
1.566726012E1,4.817310721E-2
1.568809425E1,5.600973964E-2
1.570892837E1,6.315912306E-2
1.572976249E1,6.343036145E-2
1.575059661E1,5.720528215E-2
1.577143074E1,5.118989199E-2
1.579226486E1,4.961477220E-2
1.581309898E1,5.049609765E-2
1.583393310E1,4.911445081E-2
1.585476723E1,4.643679410E-2
1.587560135E1,4.694874585E-2
1.589643547E1,4.858409986E-2
1.591726959E1,4.974500090E-2
1.593810372E1,5.168201029E-2
1.595893784E1,5.852010474E-2
1.597977196E1,7.221822441E-2
1.600060608E1,8.465658128E-2
1.602144021E1,9.192368388E-2
1.604227433E1,9.738457948E-2
1.606310845E1,1.016008854E-1
1.608394257E1,1.023253649E-1
1.610477670E1,1.001892239E-1
1.612561082E1,9.938909858E-2
1.614644494E1,1.010863334E-1
1.616727906E1,1.028878540E-1
1.618811319E1,1.017708629E-1
1.620894731E1,9.591703862E-2
1.622978143E1,8.556480706E-2
1.625061555E1,7.483839989E-2
1.627144968E1,7.122859359E-2
1.629228380E1,7.367815822E-2
1.631311792E1,7.434091717E-2
1.633395204E1,7.364042103E-2
1.635478617E1,7.614968717E-2
1.637562029E1,8.037821203E-2
1.639645441E1,8.099317551E-2
1.641728853E1,7.823151350E-2
1.643812266E1,7.935503870E-2
1.645895678E1,8.704717457E-2
1.647979090E1,9.400417656E-2
1.650062502E1,9.490145743E-2
1.652145915E1,8.974643052E-2
